problem,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,teacher_params_mean,teacher_params_std,teacher_params,dense_params_mean,dense_params_std,dense_params,structured_trainable_params_mean,structured_trainable_params_std,structured_trainable_params,structured_effective_params_mean,structured_effective_params_std,structured_effective_params,compression_ratio_mean,compression_ratio_std,compression_ratio,teacher_training_time_s_mean,teacher_training_time_s_std,teacher_training_time_s,student_training_time_s_mean,student_training_time_s_std,student_training_time_s,structured_training_time_s_mean,structured_training_time_s_std,structured_training_time_s,inference_time_s_mean,inference_time_s_std,inference_time_s,total_wall_clock_time_s_mean,total_wall_clock_time_s_std,total_wall_clock_time_s,device_name,cuda_version,pytorch_version,ram_gb
laplace,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,2241.0,0.0,2.241e+03 +/- 0,2241.0,0.0,2.241e+03 +/- 0,1993.6,33.64966567441644,1.994e+03 +/- 33.6497,1993.6,33.64966567441644,1.994e+03 +/- 33.6497,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,115.06015386581421,3.515384142477539,115.0602 +/- 3.5154,182.22148489952087,2.4152418450639526,182.2215 +/- 2.4152,272.15924100875856,2.3952694826355936,272.1592 +/- 2.3953,,,,4362.189087915421,8.5589021420289,4.362e+03 +/- 8.5589,NVIDIA GeForce RTX 5060 Ti,13.0,2.9.1+cu130,31.784183502197266
poisson,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,5665.0,0.0,5.665e+03 +/- 0,5665.0,0.0,5.665e+03 +/- 0,5033.4,80.18915138595744,5.033e+03 +/- 80.1892,5033.4,80.18915138595744,5.033e+03 +/- 80.1892,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,962.3528046131134,6.149774867871525,962.3528 +/- 6.1498,1315.0697787761687,2.1602309387306775,1.315e+03 +/- 2.1602,557.0520086288452,5.485317275521028,557.0520 +/- 5.4853,,,,4362.189087915421,8.5589021420289,4.362e+03 +/- 8.5589,NVIDIA GeForce RTX 5060 Ti,13.0,2.9.1+cu130,31.784183502197266
burgers_inverse,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,4897.0,0.0,4.897e+03 +/- 0,4897.0,0.0,4.897e+03 +/- 0,2735.8,176.86492020748491,2.736e+03 +/- 176.8649,2735.8,176.86492020748491,2.736e+03 +/- 176.8649,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,218.89179611206055,3.1082317209745756,218.8918 +/- 3.1082,303.9116719722748,1.9818288038205825,303.9117 +/- 1.9818,307.8290321826935,1.3624413884186617,307.8290 +/- 1.3624,,,,4362.189087915421,8.5589021420289,4.362e+03 +/- 8.5589,NVIDIA GeForce RTX 5060 Ti,13.0,2.9.1+cu130,31.784183502197266
