problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,dense_rL2_mean,dense_rL2_std,dense_rL2,final_rL2_mean,final_rL2_std,final_rL2,coverage95_mean,coverage95_std,coverage95,nll_mean,nll_std,nll,aiw_mean,aiw_std,aiw,error_std_corr_mean,error_std_corr_std,error_std_corr
laplace,teacher_distilled_student,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,1.0,0.0,1.0000 +/- 0,-1.0192436012597805,0.04244960552758832,-1.0192 +/- 0.0424,0.5708387642221451,0.02391462071222979,0.5708 +/- 0.0239,0.20284884824867505,0.31669193090710207,0.2028 +/- 0.3167
laplace,zero_distillation_mc_dropout_student,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00018394158431356,3.5682525468103276e-05,1.839e-04 +/- 3.568e-05,0.00018394158431356,3.5682525468103276e-05,1.839e-04 +/- 3.568e-05,0.9500285714285714,0.00390107258929376,0.9500 +/- 3.901e-03,-7.789240808431101,0.20111246632840027,-7.7892 +/- 0.2011,0.00042093391103428004,8.344996980934375e-05,4.209e-04 +/- 8.345e-05,0.3643132861393063,0.07645460998540893,0.3643 +/- 0.0765
poisson,teacher_distilled_student,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.9807142857142856,0.0007759128922285532,0.9807 +/- 7.759e-04,519941.7675020156,21144.399194198315,5.199e+05 +/- 2.114e+04,0.09587859499776556,0.0014843444465692283,0.0959 +/- 1.484e-03,0.4751014482216725,0.1488638485659115,0.4751 +/- 0.1489
poisson,zero_distillation_mc_dropout_student,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00024106191217660003,9.411907425300945e-05,2.411e-04 +/- 9.412e-05,0.00024106191217660003,9.411907425300945e-05,2.411e-04 +/- 9.412e-05,0.9498,0.005905376312120609,0.9498 +/- 5.905e-03,-10.794498165706091,0.2186511387448212,-10.7945 +/- 0.2187,2.4463541740913393e-05,6.92164916848953e-06,2.446e-05 +/- 6.922e-06,0.5162018618790709,0.31729684528660057,0.5162 +/- 0.3173
burgers_inverse,teacher_distilled_student,Burgers inverse,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,1.0,0.0,1.0000 +/- 0,-1.3898779344254728,0.05301376529586061,-1.3899 +/- 0.0530,0.3935962897504568,0.020774269912226456,0.3936 +/- 0.0208,0.4356410293465941,0.07388436217368786,0.4356 +/- 0.0739
burgers_inverse,zero_distillation_mc_dropout_student,Burgers inverse,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.01052289834549108,0.00031771904683023977,0.0105 +/- 3.177e-04,0.01052289834549108,0.00031771904683023977,0.0105 +/- 3.177e-04,0.9492285714285714,0.011427053470619987,0.9492 +/- 0.0114,-2.3055953188716036,1.0836864136214304,-2.3056 +/- 1.0837,0.0052839966236641,0.000678681243241729,5.284e-03 +/- 6.787e-04,0.6904589149813599,0.04034097998390543,0.6905 +/- 0.0403
