problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,final_rL2_mean,final_rL2_std,final_rL2,structured_rL2_mean,structured_rL2_std,structured_rL2,compression_ratio_mean,compression_ratio_std,compression_ratio,coverage95_mean,coverage95_std,coverage95,error_std_corr_mean,error_std_corr_std,error_std_corr,sensitivity_parameter,sensitivity_value
poisson,clustering_threshold_0p03,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.00277271346546644,0.0011358411912623693,2.773e-03 +/- 1.136e-03,1.1413472579439272,0.021088402052730864,1.1413 +/- 0.0211,0.950942857142857,0.00084273606878579,0.9509 +/- 8.427e-04,0.40985615625812155,0.2495233870473576,0.4099 +/- 0.2495,,
poisson,clustering_threshold_0p05,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.0026965159213321603,0.001003787422986702,2.697e-03 +/- 1.004e-03,1.1364125261363636,0.02943725408688979,1.1364 +/- 0.0294,0.9496285714285715,0.003595064644191852,0.9496 +/- 3.595e-03,0.37090797310979806,0.20543716910072118,0.3709 +/- 0.2054,,
poisson,clustering_threshold_0p08,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.0020722162077057397,0.0011153093984455215,2.072e-03 +/- 1.115e-03,1.1673544958243909,0.034938724725573626,1.1674 +/- 0.0349,0.95,0.0033073819722258062,0.9500 +/- 3.307e-03,0.3695312039689101,0.20241607606168593,0.3695 +/- 0.2024,,
poisson,clustering_threshold_0p10,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.0026965159213321603,0.001003787422986702,2.697e-03 +/- 1.004e-03,1.1364125261363636,0.02943725408688979,1.1364 +/- 0.0294,0.9496285714285715,0.003595064644191852,0.9496 +/- 3.595e-03,0.37090797310979806,0.20543716910072118,0.3709 +/- 0.2054,,
poisson,clustering_threshold_0p15,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.0026344226292762596,0.001100023612456557,2.634e-03 +/- 1.100e-03,1.1775999163038278,0.02513677552140574,1.1776 +/- 0.0251,0.95,0.002768260339296501,0.9500 +/- 2.768e-03,0.3949637822041989,0.23148693315680383,0.3950 +/- 0.2315,,
poisson,clustering_threshold_0p20,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,0.00280903468319198,0.0010764340437136386,2.809e-03 +/- 1.076e-03,1.2356491185952119,0.03505533119904204,1.2356 +/- 0.0351,0.9507714285714286,0.0012020390838835492,0.9508 +/- 1.202e-03,0.4124702346440854,0.25756258400573984,0.4125 +/- 0.2576,,
poisson,minimum_compression_1p0,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,,,,,,,minimum_compression,1.0
poisson,minimum_compression_1p1,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,,,,,,,minimum_compression,1.1
poisson,minimum_compression_1p5,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,,,,,,,minimum_compression,1.5
poisson,minimum_compression_2p0,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,,,,,,,minimum_compression,2.0
burgers_inverse,accuracy_ratio_1p0,Burgers inverse,5,unified_blind_protocol_v1,dense_student:3; structured:2,0.4,0.4000,0.01080269696228518,0.0002661625721403475,0.0108 +/- 2.662e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,accuracy_ratio,1.0
burgers_inverse,accuracy_ratio_1p03,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,accuracy_ratio,1.03
burgers_inverse,accuracy_ratio_1p1,Burgers inverse,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,accuracy_ratio,1.1
burgers_inverse,accuracy_ratio_1p25,Burgers inverse,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,,,,,,,accuracy_ratio,1.25
